"","Start.station","End.station","count"
"14104","Coldwater Spring","4th Street & 13th Ave SE",2
"14105","Coldwater Spring","E 38th Street & 42nd Ave S",2
"14106","Coldwater Spring","East Lake Street & 36th Ave S",2
"14107","Como Ave SE & 29th Ave SE","5th Street NE & 1st Ave NE",2
"14108","Como Ave SE & 29th Ave SE","Bohemian Flats",2
"14109","Como Ave SE & 29th Ave SE","Currie Park",2
"14110","Como Ave SE & 29th Ave SE","Lyndale Ave S & 22nd Street ",2
"14111","Como Ave SE & 29th Ave SE","Midtown Exchange",2
"14112","Como Ave SE & 29th Ave SE","N Washington Ave & 9th Ave N",2
"14113","Como Ave SE & 29th Ave SE","Nicollet & Franklin",2
"14114","Como Ave SE & 29th Ave SE","Park Ave & 4th Street S",2
"14115","Como Ave SE & 29th Ave SE","Science Museum of Minnesota",2
"14116","Como Ave SE & 29th Ave SE","South 2nd Street & 3rd Ave S",2
"14117","Como Ave SE & 29th Ave SE","University of St. Thomas",2
"14118","Como Park Conservatory","10th Street E & Cedar Street",2
"14119","Como Park Conservatory","22nd Ave S & Franklin Ave",2
"14120","Como Park Conservatory","4th Street & 17th Ave SE",2
"14121","Como Park Conservatory","Coffman Union",2
"14122","Como Park Conservatory","Dupont Ave S & W 29th Street",2
"14123","Como Park Conservatory","Fairview Ave & University Ave",2
"14124","Como Park Conservatory","Kellogg Blvd E & Jackson Street",2
"14125","Como Park Conservatory","Lake Street & West River Parkway",2
"14126","Como Park Conservatory","Minnesota History Center",2
"14127","Como Park Conservatory","N Victoria Street & University Ave ",2
"14128","Como Park Conservatory","SE 3rd Ave & University Ave SE",2
"14129","Como Park Conservatory","Union Depot",2
"14130","Como Park Conservatory","Washington Ave SE & Union Street SE",2
"14131","Como Park Conservatory","Wilder Street & Marshall Ave",2
"14132","Cooke Hall","3rd Street N & 8th Ave N",2
"14133","Cooke Hall","Bohemian Flats",2
"14134","Cooke Hall","Carleton Street & University Ave ",2
"14135","Cooke Hall","Elliot Park",2
"14136","Cooke Hall","Hennepin County Government Center",2
"14137","Cooke Hall","Lyndale Ave S & 22nd Street ",2
"14138","Cooke Hall","Mill City Quarter",2
"14139","Cooke Hall","Sherburne Ave & Snelling Ave N",2
"14140","Cooke Hall","Target Field Station",2
"14141","Curfew Street & Ellis Ave.","27th Ave S & Minnehaha Ave",2
"14142","Curfew Street & Ellis Ave.","2nd Ave N & N 6th Street",2
"14143","Curfew Street & Ellis Ave.","2nd Street SE & 5th Ave SE",2
"14144","Curfew Street & Ellis Ave.","4th Street & 13th Ave SE",2
"14145","Curfew Street & Ellis Ave.","Bohemian Flats",2
"14146","Curfew Street & Ellis Ave.","Broadway & Marshall Street NE",2
"14147","Curfew Street & Ellis Ave.","Chicago Ave & S Washington Ave",2
"14148","Curfew Street & Ellis Ave.","Como Park Conservatory",2
"14149","Curfew Street & Ellis Ave.","Currie Park",2
"14150","Curfew Street & Ellis Ave.","Hennepin Ave & S Washington Ave",2
"14151","Curfew Street & Ellis Ave.","Kowalski's Market",2
"14152","Curfew Street & Ellis Ave.","Lake Street & Humboldt",2
"14153","Curfew Street & Ellis Ave.","Marshall Street NE & 8th Ave NE",2
"14154","Curfew Street & Ellis Ave.","Midtown Exchange",2
"14155","Curfew Street & Ellis Ave.","Midtown Greenway & 5th Ave S",2
"14156","Curfew Street & Ellis Ave.","Minneapolis Farmers Market",2
"14157","Curfew Street & Ellis Ave.","N 4th Ave & W River Parkway",2
"14158","Curfew Street & Ellis Ave.","Nicollet Ave & W 37th Street",2
"14159","Curfew Street & Ellis Ave.","Nicollet Mall & Grant Street",2
"14160","Curfew Street & Ellis Ave.","SE 3rd Ave & University Ave SE",2
"14161","Curfew Street & Ellis Ave.","W 31st Street & Hennepin Ave S",2
"14162","Curfew Street & Ellis Ave.","Williamson Hall",2
"14163","Currie Park","10th Street & Nicollet Mall",2
"14164","Currie Park","26th Street & Hennepin",2
"14165","Currie Park","2nd Ave N & N 6th Street",2
"14166","Currie Park","2nd Street N & 8th Ave N",2
"14167","Currie Park","3rd Street N & 8th Ave N",2
"14168","Currie Park","Dupont Ave S & W 29th Street",2
"14169","Currie Park","Franklin & 11th Ave",2
"14170","Currie Park","Groveland Ave & Clifton Place",2
"14171","Currie Park","Hiawatha Ave & E 50th Street",2
"14172","Dale Street & Grand Ave.","Como Ave SE & 29th Ave SE",2
"14173","Dale Street & Grand Ave.","Fairview Ave & University Ave",2
"14174","Dale Street & Grand Ave.","Harriet Island",2
"14175","Dale Street & Grand Ave.","Lake Street & West River Parkway",2
"14176","Dale Street & Grand Ave.","Sherburne Ave & Snelling Ave N",2
"14177","Dale Street & Grand Ave.","Washington & Cedar",2
"14178","Dale Street N & University Ave","23rd Ave SE & University Ave SE",2
"14179","Dale Street N & University Ave","7th Street W & Grand Ave",2
"14180","Dale Street N & University Ave","Hidden Falls Park",2
"14181","Dale Street N & University Ave","Kowalski's Market",2
"14182","Dale Street N & University Ave","McNamara Center",2
"14183","Delaware Street SE & 26th Ave SE","5th Street NE & 3rd Ave NE",2
"14184","Delaware Street SE & 26th Ave SE","Chicago & 27th Street",2
"14185","Delaware Street SE & 26th Ave SE","Como Ave SE & 29th Ave SE",2
"14186","Delaware Street SE & 26th Ave SE","E Franklin Ave & Bloomington Ave S",2
"14187","Delaware Street SE & 26th Ave SE","Hamline Ave N & University Ave",2
"14188","Delaware Street SE & 26th Ave SE","Kowalski's Market",2
"14189","Delaware Street SE & 26th Ave SE","Lake Calhoun Center",2
"14190","Delaware Street SE & 26th Ave SE","Lake Como Pavilion",2
"14191","Delaware Street SE & 26th Ave SE","Minneapolis Farmers Market",2
"14192","Delaware Street SE & 26th Ave SE","U of M St. Paul Student Center",2
"14193","Delaware Street SE & 26th Ave SE","West 15th Street & Willow",2
"14194","Dupont Ave & 22nd Street","23rd Ave SE & 6th Street SE",2
"14195","Dupont Ave & 22nd Street","Bohemian Flats",2
"14196","Dupont Ave & 22nd Street","Boom Island Park",2
"14197","Dupont Ave & 22nd Street","E Franklin Ave & Bloomington Ave S",2
"14198","Dupont Ave & 22nd Street","Elliot Park",2
"14199","Dupont Ave & 22nd Street","Logan Park",2
"14200","Dupont Ave & 22nd Street","Marshall Street NE & 8th Ave NE",2
"14201","Dupont Ave & 22nd Street","Marshall Street NE & Lowry Ave",2
"14202","Dupont Ave & 22nd Street","Mill City Quarter",2
"14203","Dupont Ave & 22nd Street","South 2nd Street & 3rd Ave S",2
"14204","Dupont Ave & 22nd Street","University Ave NE & 12th Ave NE",2
"14205","Dupont Ave & 22nd Street","Washington & Cedar",2
"14206","Dupont Ave S & W 29th Street","11th Street & Marquette",2
"14207","Dupont Ave S & W 29th Street","15th Ave SE & 4th Street SE",2
"14208","Dupont Ave S & W 29th Street","23rd Ave SE & 6th Street SE",2
"14209","Dupont Ave S & W 29th Street","2nd Street SE & 5th Ave SE",2
"14210","Dupont Ave S & W 29th Street","5th Street NE & 3rd Ave NE",2
"14211","Dupont Ave S & W 29th Street","Bohemian Flats",2
"14212","Dupont Ave S & W 29th Street","Elliot Ave S & E 24th Street",2
"14213","Dupont Ave S & W 29th Street","Hennepin & Laurel Ave",2
"14214","Dupont Ave S & W 29th Street","Hennepin Ave & S Washington Ave",2
"14215","Dupont Ave S & W 29th Street","Hennepin County Government Center",2
"14216","Dupont Ave S & W 29th Street","Logan Park",2
"14217","Dupont Ave S & W 29th Street","Malcolm Ave SE & 5th Street SE",2
"14218","Dupont Ave S & W 29th Street","Marshall Street NE & 8th Ave NE",2
"14219","Dupont Ave S & W 29th Street","N Washington Ave & 9th Ave N",2
"14220","Dupont Ave S & W 29th Street","Nice Ride World Headquarters",2
"14221","Dupont Ave S & W 29th Street","Washington Ave N & Cedar Lake Trail",2
"14222","Dupont Ave S & W 29th Street","Washington Ave S & 10th Ave S",2
"14223","Dupont Ave S & W 29th Street","Washington Ave SE & Union Street SE",2
"14224","Dupont Ave S & W 29th Street","Wilder Street & Marshall Ave",2
"14225","E 14th Street & N Robert Street ","Dale Street N & University Ave",2
"14226","E 14th Street & N Robert Street ","Mariucci Arena",2
"14227","E 14th Street & N Robert Street ","N Milton Street & Summit Ave",2
"14228","E 14th Street & N Robert Street ","Rice Street & University Ave W",2
"14229","E 14th Street & N Robert Street ","Science Museum of Minnesota",2
"14230","E 38th Street & 42nd Ave S","26th Street & Hennepin",2
"14231","E 38th Street & 42nd Ave S","27th Ave SE & University Ave",2
"14232","E 38th Street & 42nd Ave S","6th Ave SE & University Ave",2
"14233","E 38th Street & 42nd Ave S","Lake Street & Humboldt",2
"14234","E 38th Street & 42nd Ave S","Lyndale Ave S & W 29th Street",2
"14235","E 38th Street & 42nd Ave S","Macalester College",2
"14236","E 38th Street & 42nd Ave S","Oak Street Ramp",2
"14237","E 38th Street & 42nd Ave S","Selby Ave & Virginia Street",2
"14238","E 38th Street & 42nd Ave S","Sherburne Ave & Snelling Ave N",2
"14239","E 38th Street & 42nd Ave S","University Ave NE & 12th Ave NE",2
"14240","E 38th Street & 42nd Ave S","Upper Landing",2
"14241","E Franklin Ave & Bloomington Ave S","100 Main Street SE",2
"14242","E Franklin Ave & Bloomington Ave S","26th Street & Lyndale",2
"14243","E Franklin Ave & Bloomington Ave S","2nd Ave N & N 6th Street",2
"14244","E Franklin Ave & Bloomington Ave S","2nd Street N & 8th Ave N",2
"14245","E Franklin Ave & Bloomington Ave S","2nd Street SE & 5th Ave SE",2
"14246","E Franklin Ave & Bloomington Ave S","5th Street NE & 3rd Ave NE",2
"14247","E Franklin Ave & Bloomington Ave S","7th Street SE & 10th Ave SE",2
"14248","E Franklin Ave & Bloomington Ave S","9th Street N & Hawthorne Ave",2
"14249","E Franklin Ave & Bloomington Ave S","Dupont Ave & 22nd Street",2
"14250","E Franklin Ave & Bloomington Ave S","Hennepin Ave & S Washington Ave",2
"14251","E Franklin Ave & Bloomington Ave S","Lake Nokomis",2
"14252","E Franklin Ave & Bloomington Ave S","Lake Street & Humboldt",2
"14253","E Franklin Ave & Bloomington Ave S","Logan Park",2
"14254","E Franklin Ave & Bloomington Ave S","Macalester College",2
"14255","E Franklin Ave & Bloomington Ave S","Malcolm Ave SE & 5th Street SE",2
"14256","E Franklin Ave & Bloomington Ave S","Minneapolis Farmers Market",2
"14257","E Franklin Ave & Bloomington Ave S","Minnehaha Park",2
"14258","E Franklin Ave & Bloomington Ave S","Mpls Convention Center",2
"14259","E Franklin Ave & Bloomington Ave S","North 2nd Street & 4th Ave N",2
"14260","E Franklin Ave & Bloomington Ave S","S 8th Street & 2nd Ave S",2
"14261","E Franklin Ave & Bloomington Ave S","Sanford Hall",2
"14262","E Franklin Ave & Bloomington Ave S","Washington Ave S & 10th Ave S",2
"14263","East Lake Street & 36th Ave S","11th Street & Hennepin",2
"14264","East Lake Street & 36th Ave S","15th Ave SE & 4th Street SE",2
"14265","East Lake Street & 36th Ave S","23rd Ave SE & University Ave SE",2
"14266","East Lake Street & 36th Ave S","28th Street & Nicollet Ave. S",2
"14267","East Lake Street & 36th Ave S","2nd Ave S & S 3rd Street",2
"14268","East Lake Street & 36th Ave S","7th Street & 4th Ave S",2
"14269","East Lake Street & 36th Ave S","Chicago Ave & S Washington Ave",2
"14270","East Lake Street & 36th Ave S","Dale Street & Grand Ave.",2
"14271","East Lake Street & 36th Ave S","Delaware Street SE & 26th Ave SE",2
"14272","East Lake Street & 36th Ave S","Elliot Hall",2
"14273","East Lake Street & 36th Ave S","Fairview Ave & University Ave",2
"14274","East Lake Street & 36th Ave S","Franklin & 11th Ave",2
"14275","East Lake Street & 36th Ave S","Gateway Park",2
"14276","East Lake Street & 36th Ave S","Lyndale Ave S & 22nd Street ",2
"14277","East Lake Street & 36th Ave S","Mpls Convention Center",2
"14278","East Lake Street & 36th Ave S","Nicollet & Franklin",2
"14279","East Lake Street & 36th Ave S","W 31st Street & Hennepin Ave S",2
"14280","East Lake Street & 36th Ave S","West 32nd Street & Bryant Ave S",2
"14281","East Lake Street & 36th Ave S","West 36th Street & Bryant Ave S",2
"14282","East Lake Street & 36th Ave S","Willey Hall",2
"14283","Elliot Ave S & E 24th Street","27th Ave S & Minnehaha Ave",2
"14284","Elliot Ave S & E 24th Street","2nd Ave N & Washington Ave N",2
"14285","Elliot Ave S & E 24th Street","Carleton Street & University Ave ",2
"14286","Elliot Ave S & E 24th Street","Dupont Ave S & W 29th Street",2
"14287","Elliot Ave S & E 24th Street","Hennepin Ave & S Washington Ave",2
"14288","Elliot Ave S & E 24th Street","Hennepin County Government Center",2
"14289","Elliot Ave S & E 24th Street","IDS Center",2
"14290","Elliot Ave S & E 24th Street","Lake Nokomis",2
"14291","Elliot Ave S & E 24th Street","Riverside Ave & 23rd Ave S",2
"14292","Elliot Ave S & E 24th Street","West 15th Street & Willow",2
"14293","Elliot Hall","11th Street & Marquette",2
"14294","Elliot Hall","5th Ave N & 4th Street N",2
"14295","Elliot Hall","9th Street & 4th Ave",2
"14296","Elliot Hall","9th Street N & Hawthorne Ave",2
"14297","Elliot Hall","Curfew Street & Ellis Ave.",2
"14298","Elliot Hall","Elliot Park",2
"14299","Elliot Hall","Hennepin County Government Center",2
"14300","Elliot Hall","IDS Center",2
"14301","Elliot Hall","Lake Como Pavilion",2
"14302","Elliot Hall","Lake Street & Knox Ave S",2
"14303","Elliot Hall","Lyndale Ave S & 22nd Street ",2
"14304","Elliot Hall","Marshall Street NE & Lowry Ave",2
"14305","Elliot Hall","Mississippi River Blvd & Summit Ave",2
"14306","Elliot Hall","Mpls Convention Center",2
"14307","Elliot Hall","NE Central Ave & NE 14th Ave",2
"14308","Elliot Hall","Park Ave & 4th Street S",2
"14309","Elliot Hall","S 8th Street & 2nd Ave S",2
"14310","Elliot Hall","University Ave SE & Bedford Street SE",2
"14311","Elliot Park","23rd Ave SE & 6th Street SE",2
"14312","Elliot Park","3rd Street N & 8th Ave N",2
"14313","Elliot Park","5th Street NE & 3rd Ave NE",2
"14314","Elliot Park","7th Street N & Plymouth Ave N",2
"14315","Elliot Park","Bryant Ave N & West Broadway",2
"14316","Elliot Park","Civil Engineering",2
"14317","Elliot Park","Lake Calhoun Center",2
"14318","Elliot Park","Lake Nokomis",2
"14319","Elliot Park","Marshall Street NE & 18th Ave NE",2
"14320","Elliot Park","Mayo Memorial Building",2
"14321","Elliot Park","Nice Ride World Headquarters",2
"14322","Elliot Park","Oak Street Ramp",2
"14323","Elliot Park","Washington & Marquette",2
"14324","Elliot Park","Washington Ave N & Cedar Lake Trail",2
"14325","Elliot Park","West Broadway & Logan Ave N",2
"14326","Elwood Ave N & Oak Park Ave N","7th Street & 4th Ave S",2
"14327","Elwood Ave N & Oak Park Ave N","Farview Park",2
"14328","Elwood Ave N & Oak Park Ave N","Girard Ave N & W Broadway Ave",2
"14329","Elwood Ave N & Oak Park Ave N","Hennepin & Laurel Ave",2
"14330","Elwood Ave N & Oak Park Ave N","Lake Street & Knox Ave S",2
"14331","Elwood Ave N & Oak Park Ave N","Logan Park",2
"14332","Elwood Ave N & Oak Park Ave N","Plymouth Ave N &  N Oliver Ave",2
"14333","Elwood Ave N & Oak Park Ave N","West Broadway & Logan Ave N",2
"14334","Englewood Ave & N Asbury Street","15th Ave SE & 4th Street SE",2
"14335","Englewood Ave & N Asbury Street","23rd Ave SE & 6th Street SE",2
"14336","Englewood Ave & N Asbury Street","27th Ave SE & University Ave",2
"14337","Englewood Ave & N Asbury Street","2nd Ave N & Washington Ave N",2
"14338","Englewood Ave & N Asbury Street","Cleveland Ave S & Highland Parkway",2
"14339","Englewood Ave & N Asbury Street","Grand Ave & Fairview Ave",2
"14340","Englewood Ave & N Asbury Street","Lexington Pkwy & University Ave",2
"14341","Englewood Ave & N Asbury Street","U of M St. Paul Student Center",2
"14342","Fairview Ave & University Ave","10th Street E & Cedar Street",2
"14343","Fairview Ave & University Ave","22nd Ave S & Franklin Ave",2
"14344","Fairview Ave & University Ave","27th Ave SE & University Ave",2
"14345","Fairview Ave & University Ave","6th Ave SE & University Ave",2
"14346","Fairview Ave & University Ave","Franklin & 11th Ave",2
"14347","Fairview Ave & University Ave","Hennepin & Central Avenue NE",2
"14348","Fairview Ave & University Ave","Marshall Street NE & 8th Ave NE",2
"14349","Fairview Ave & University Ave","Midtown YWCA",2
"14350","Fairview Ave & University Ave","N Victoria Street & University Ave ",2
"14351","Fairview Ave & University Ave","University Ave SE & Bedford Street SE",2
"14352","Farview Park","100 Main Street SE",2
"14353","Farview Park","3rd Street N & 8th Ave N",2
"14354","Farview Park","Fairview Ave & University Ave",2
"14355","Farview Park","Hennepin Ave & S Washington Ave",2
"14356","Farview Park","Marshall Street NE & Lowry Ave",2
"14357","Farview Park","Park Ave & 4th Street S",2
"14358","Farview Park","Target Field Station",2
"14359","Farview Park","West Broadway & Logan Ave N",2
"14360","Fort Snelling State Park","15th Ave SE & 4th Street SE",2
"14361","Fort Snelling State Park","E 38th Street & 42nd Ave S",2
"14362","Fort Snelling State Park","Kowalski's Market",2
"14363","Fort Snelling State Park","Lake Street & Knox Ave S",2
"14364","Fort Snelling State Park","Lake Street & West River Parkway",2
"14365","Fort Snelling State Park","Wabasha Street S & E Fillmore Ave",2
"14366","Fort Snelling Visitor Center","100 Main Street SE",2
"14367","Fort Snelling Visitor Center","25th Street & 33rd Ave S",2
"14368","Fort Snelling Visitor Center","Hague Ave & Dale Street",2
"14369","Fort Snelling Visitor Center","Hidden Falls Park",2
"14370","Fort Snelling Visitor Center","Landmark Plaza",2
"14371","Fort Snelling Visitor Center","University & Bank Street SE",2
"14372","Franklin & 11th Ave","15th Ave SE & 4th Street SE",2
"14373","Franklin & 11th Ave","38th Street Light Rail Station",2
"14374","Franklin & 11th Ave","5th Street NE & 3rd Ave NE",2
"14375","Franklin & 11th Ave","Broadway & Marshall Street NE",2
"14376","Franklin & 11th Ave","Carleton Street & University Ave ",2
"14377","Franklin & 11th Ave","East Lake Street & 36th Ave S",2
"14378","Franklin & 11th Ave","Gateway Park",2
"14379","Franklin & 11th Ave","Groveland Ave & Clifton Place",2
"14380","Franklin & 11th Ave","Hennepin & Laurel Ave",2
"14381","Franklin & 11th Ave","Lake Nokomis",2
"14382","Franklin & 11th Ave","Lake Street & West River Parkway",2
"14383","Franklin & 11th Ave","N 4th Ave & W River Parkway",2
"14384","Franklin & 11th Ave","Nice Ride World Headquarters",2
"14385","Franklin & 11th Ave","Washington Ave S & 10th Ave S",2
"14386","Franklin & 11th Ave","West 32nd Street & Bryant Ave S",2
"14387","Franklin & 11th Ave","West 34th Street  & Hennepin Ave S",2
"14388","Franklin & 11th Ave","West 36th Street & Bryant Ave S",2
"14389","Franklin & 28th Ave","11th Street & Hennepin",2
"14390","Franklin & 28th Ave","9th Street & 4th Ave",2
"14391","Franklin & 28th Ave","Como Park Conservatory",2
"14392","Franklin & 28th Ave","Glenwood Ave & N Morgan Ave",2
"14393","Franklin & 28th Ave","Grand Ave & Fairview Ave",2
"14394","Franklin & 28th Ave","Lake Como Pavilion",2
"14395","Franklin & 28th Ave","Macalester College",2
"14396","Franklin & 28th Ave","North Mississippi Regional Park",2
"14397","Franklin & 28th Ave","S 8th Street & 2nd Ave S",2
"14398","Franklin & 28th Ave","W 50th Street & W Minnehaha Pkwy",2
"14399","Franklin & 28th Ave","Walker Art Center",2
"14400","Franklin & 28th Ave","Washington Ave S & 10th Ave S",2
"14401","Franklin & 28th Ave","Wirth Beach",2
"14402","Franklin & 28th Ave","YWCA Uptown",2
"14403","Franklin & Portland","4th Street & 13th Ave SE",2
"14404","Franklin & Portland","Dupont Ave & 22nd Street",2
"14405","Franklin & Portland","Hennepin & Laurel Ave",2
"14406","Franklin & Portland","Pleasant Ave S &  Lake Street",2
"14407","Franklin & Portland","Sanford Hall",2
"14408","Franklin & Portland","Upton Ave S & Sheridan Ave S",2
"14409","Franklin & Portland","Washington & Marquette",2
"14410","Franklin & Portland","Washington Ave N & Cedar Lake Trail",2
"14411","Franklin & Portland","Washington Ave SE & Union Street SE",2
"14412","Franklin & Portland","West 32nd Street & Bryant Ave S",2
"14413","Franklin & Portland","West 34th Street  & Hennepin Ave S",2
"14414","Franklin & Portland","West Broadway & Logan Ave N",2
"14415","Gateway Park","Carleton Street & University Ave ",2
"14416","Gateway Park","Cleveland Ave S & Highland Parkway",2
"14417","Gateway Park","Como Park Conservatory",2
"14418","Gateway Park","Elliot Ave S & E 24th Street",2
"14419","Gateway Park","Grand Ave & Fairview Ave",2
"14420","Gateway Park","North Mississippi Regional Park",2
"14421","Gateway Park","University Ave SE & Bedford Street SE",2
"14422","Gateway Park","Upton Ave S & Sheridan Ave S",2
"14423","Gateway Park","W 31st Street & Hennepin Ave S",2
"14424","Girard Ave N & W Broadway Ave","11th Ave S & S 2nd Street",2
"14425","Girard Ave N & W Broadway Ave","23rd Ave SE & 6th Street SE",2
"14426","Girard Ave N & W Broadway Ave","2nd Ave N & Washington Ave N",2
"14427","Girard Ave N & W Broadway Ave","Broadway & Marshall Street NE",2
"14428","Girard Ave N & W Broadway Ave","Currie Park",2
"14429","Girard Ave N & W Broadway Ave","Elwood Ave N & Oak Park Ave N",2
"14430","Girard Ave N & W Broadway Ave","Glenwood Ave & N Morgan Ave",2
"14431","Girard Ave N & W Broadway Ave","Hennepin Ave & S Washington Ave",2
"14432","Girard Ave N & W Broadway Ave","Logan Park",2
"14433","Girard Ave N & W Broadway Ave","Loring Park",2
"14434","Girard Ave N & W Broadway Ave","Lyndale Ave S & 22nd Street ",2
"14435","Girard Ave N & W Broadway Ave","Marshall Street NE & 8th Ave NE",2
"14436","Girard Ave N & W Broadway Ave","Mpls Convention Center",2
"14437","Girard Ave N & W Broadway Ave","Nicollet Island",2
"14438","Girard Ave N & W Broadway Ave","Nicollet Mall & Grant Street",2
"14439","Girard Ave N & W Broadway Ave","Plymouth Ave N &  N Oliver Ave",2
"14440","Girard Ave N & W Broadway Ave","West 15th Street & Willow",2
"14441","Girard Ave N & W Broadway Ave","Wirth Beach",2
"14442","Glenwood Ave & N Morgan Ave","3rd Street NE & Lowry Ave NE",2
"14443","Glenwood Ave & N Morgan Ave","5th Ave N & 4th Street N",2
"14444","Glenwood Ave & N Morgan Ave","9th Street N & Hawthorne Ave",2
"14445","Glenwood Ave & N Morgan Ave","Hennepin Ave & S Washington Ave",2
"14446","Glenwood Ave & N Morgan Ave","Marshall Street NE & 18th Ave NE",2
"14447","Glenwood Ave & N Morgan Ave","MCAD",2
"14448","Glenwood Ave & N Morgan Ave","Nice Ride World Headquarters",2
"14449","Glenwood Ave & N Morgan Ave","Nicollet Mall & Grant Street",2
"14450","Glenwood Ave & N Morgan Ave","North 2nd Street & 4th Ave N",2
"14451","Glenwood Ave & N Morgan Ave","Park Ave & 4th Street S",2
"14452","Glenwood Ave & N Morgan Ave","Portland Ave & Washington Ave",2
"14453","Glenwood Ave & N Morgan Ave","South 2nd Street & 3rd Ave S",2
"14454","Glenwood Ave & N Morgan Ave","YWCA Uptown",2
"14455","Grand Ave & Fairview Ave","15th Ave SE & 4th Street SE",2
"14456","Grand Ave & Fairview Ave","23rd Ave SE & University Ave SE",2
"14457","Grand Ave & Fairview Ave","4th Street & 17th Ave SE",2
"14458","Grand Ave & Fairview Ave","7th Street E & Wacouta Street",2
"14459","Grand Ave & Fairview Ave","Gateway Park",2
"14460","Grand Ave & Fairview Ave","Kellogg Blvd E & Jackson Street",2
"14461","Grand Ave & Fairview Ave","Lake Street & Knox Ave S",2
"14462","Grand Ave & Fairview Ave","Malcolm Ave SE & 5th Street SE",2
"14463","Grand Ave & Fairview Ave","N 4th Ave & W River Parkway",2
"14464","Grand Ave & Fairview Ave","Oak Street Ramp",2
"14465","Grand Ave & Fairview Ave","Wabasha Street S & E Fillmore Ave",2
"14466","Grant Street & Portland Ave","25th Street & 33rd Ave S",2
"14467","Grant Street & Portland Ave","38th Street Light Rail Station",2
"14468","Grant Street & Portland Ave","Malcolm Ave SE & 5th Street SE",2
"14469","Grant Street & Portland Ave","Mariucci Arena",2
"14470","Grant Street & Portland Ave","McNamara Center",2
"14471","Grant Street & Portland Ave","Minneapolis Park & Recreation Board",2
"14472","Grant Street & Portland Ave","Mississippi River Blvd & Summit Ave",2
"14473","Grant Street & Portland Ave","NE Central Ave & NE 14th Ave",2
"14474","Grant Street & Portland Ave","Nice Ride World Headquarters",2
"14475","Grant Street & Portland Ave","University Ave NE & 12th Ave NE",2
"14476","Grant Street & Portland Ave","University Ave SE & Bedford Street SE",2
"14477","Grant Street & Portland Ave","W 50th Street & W Minnehaha Pkwy",2
"14478","Grant Street & Portland Ave","West 32nd Street & Bryant Ave S",2
"14479","Groveland Ave & Clifton Place","22nd Ave S & Franklin Ave",2
"14480","Groveland Ave & Clifton Place","2nd Ave S & S 3rd Street",2
"14481","Groveland Ave & Clifton Place","2nd Street SE & 5th Ave SE",2
"14482","Groveland Ave & Clifton Place","4th Street S & 19th Ave",2
"14483","Groveland Ave & Clifton Place","5th Street NE & 1st Ave NE",2
"14484","Groveland Ave & Clifton Place","Chicago & 27th Street",2
"14485","Groveland Ave & Clifton Place","East Lake Street & 36th Ave S",2
"14486","Groveland Ave & Clifton Place","Glenwood Ave & N Morgan Ave",2
"14487","Groveland Ave & Clifton Place","Mariucci Arena",2
"14488","Groveland Ave & Clifton Place","Marshall Street NE & 8th Ave NE",2
"14489","Groveland Ave & Clifton Place","McNamara Center",2
"14490","Groveland Ave & Clifton Place","Pleasant Ave S &  Lake Street",2
"14491","Groveland Ave & Clifton Place","University Ave SE & Bedford Street SE",2
"14492","Groveland Ave & Clifton Place","Upton Ave S & Sheridan Ave S",2
"14493","Groveland Ave & Clifton Place","Washington Ave S & 10th Ave S",2
"14494","Hague Ave & Dale Street","15th Ave SE & 4th Street SE",2
"14495","Hague Ave & Dale Street","7th Place & Jackson Street",2
"14496","Hague Ave & Dale Street","Cedar Street & Columbus Ave",2
"14497","Hague Ave & Dale Street","Cleveland Ave S & Highland Parkway",2
"14498","Hague Ave & Dale Street","E 14th Street & N Robert Street ",2
"14499","Hague Ave & Dale Street","East Lake Street & 36th Ave S",2
"14500","Hague Ave & Dale Street","Kellogg Blvd & Wabasha Street",2
"14501","Hague Ave & Dale Street","Lake Como Pavilion",2
"14502","Hague Ave & Dale Street","Lake Nokomis",2
"14503","Hague Ave & Dale Street","Minnehaha Park",2
"14504","Hague Ave & Dale Street","N Robert Street & E 10th Street",2
"14505","Hague Ave & Dale Street","Oak Street Ramp",2
"14506","Hague Ave & Dale Street","University Ave & Western Ave",2
"14507","Hamline Ave N & University Ave","10th Street E & Cedar Street",2
"14508","Hamline Ave N & University Ave","27th Ave SE & University Ave",2
"14509","Hamline Ave N & University Ave","3rd Street N & 8th Ave N",2
"14510","Hamline Ave N & University Ave","3rd Street NE & Lowry Ave NE",2
"14511","Hamline Ave N & University Ave","Curfew Street & Ellis Ave.",2
"14512","Hamline Ave N & University Ave","E 14th Street & N Robert Street ",2
"14513","Hamline Ave N & University Ave","Grand Ave & Fairview Ave",2
"14514","Hamline Ave N & University Ave","Kellogg Blvd W & Smith Ave",2
"14515","Hamline Ave N & University Ave","N Robert Street & E 10th Street",2
"14516","Hamline Ave N & University Ave","U of M St. Paul Student Center",2
"14517","Hamline Ave N & University Ave","Union Depot",2
"14518","Hennepin & Central Avenue NE","22nd Ave S & Franklin Ave",2
"14519","Hennepin & Central Avenue NE","Dupont Ave S & W 29th Street",2
"14520","Hennepin & Central Avenue NE","Farview Park",2
"14521","Hennepin & Central Avenue NE","Franklin & 28th Ave",2
"14522","Hennepin & Central Avenue NE","Franklin & Portland",2
"14523","Hennepin & Central Avenue NE","Hiawatha Ave & E 50th Street",2
"14524","Hennepin & Central Avenue NE","Midtown YWCA",2
