"","Start.station","End.station","count"
"221","Coffman Union","23rd Ave SE & University Ave SE",243
"222","Delaware Street SE & 26th Ave SE","23rd Ave SE & 6th Street SE",243
"223","Dupont Ave S & W 29th Street","Dupont Ave S & W 29th Street",242
"224","Franklin & Portland","Hennepin County Government Center",241
"225","Gateway Park","100 Main Street SE",241
"226","Washington Ave SE & Union Street SE","4th Street & 17th Ave SE",241
"227","McNamara Center","Weisman Art Museum",240
"228","4th Street & 13th Ave SE","6th Ave SE & University Ave",239
"229","4th Street & 13th Ave SE","Social Sciences",239
"230","Boom Island Park","100 Main Street SE",237
"231","West 15th Street & Willow","10th Street & Nicollet Mall",237
"232","27th Ave SE & University Ave","Coffman Union",236
"233","27th Ave SE & University Ave","Washington Ave SE & Union Street SE",236
"234","4th Street & 17th Ave SE","McNamara Center",236
"235","Groveland Ave & Clifton Place","YWCA Downtown",236
"236","S 5th Street & Nicollet Mall","Mill City Quarter",236
"237","Sanford Hall","Weisman Art Museum",236
"238","IDS Center","South 2nd Street & 3rd Ave S",235
"239","Lyndale Ave S & W 29th Street","Lake Street & Knox Ave S",235
"240","West 15th Street & Willow","S 5th Street & Nicollet Mall",235
"241","Kellogg Blvd & Wabasha Street","Wabasha Street S & E Fillmore Ave",233
"242","Weisman Art Museum","Washington Ave SE & Union Street SE",233
"243","11th Street & Hennepin","West 15th Street & Willow",232
"244","Lake Street & Knox Ave S","Lyndale Ave S & W 29th Street",232
"245","Lyndale Ave S & 22nd Street ","Lyndale Ave S & W 29th Street",231
"246","Mill City Quarter","S 5th Street & Nicollet Mall",231
"247","North 2nd Street & 4th Ave N","IDS Center",231
"248","15th Ave SE & Como Ave SE","Washington Ave SE & Union Street SE",230
"249","4th Street & 13th Ave SE","Willey Hall",230
"250","Broadway Street N & 4th Street E","Broadway Street N & 4th Street E",230
"251","West 34th Street  & Hennepin Ave S","West 34th Street  & Hennepin Ave S",230
"252","Bohemian Flats","Bohemian Flats",229
"253","Lake Harriet Bandshell","W 36th Street & W Calhoun Parkway",229
"254","North 2nd Street & 4th Ave N","Hennepin County Government Center",229
"255","Sanford Hall","Cooke Hall",228
"256","23rd Ave SE & University Ave SE","Coffman Union",227
"257","Weisman Art Museum","Washington & Cedar",227
"258","4th Street S & 19th Ave","Washington & Cedar",226
"259","YWCA Downtown","YWCA Downtown",226
"260","15th Ave SE & Como Ave SE","15th Ave SE & Como Ave SE",225
"261","Lyndale Ave S & W 29th Street","Lyndale Ave S & 22nd Street ",225
"262","23rd Ave SE & 6th Street SE","Coffman Union",224
"263","Civil Engineering","15th Ave SE & 4th Street SE",224
"264","North 2nd Street & 4th Ave N","North 2nd Street & 4th Ave N",224
"265","6th Ave SE & University Ave","Williamson Hall",223
"266","Hennepin Ave & S Washington Ave","100 Main Street SE",223
"267","Mill City Quarter","IDS Center",222
"268","Washington & Cedar","4th Street S & 19th Ave",221
"269","Williamson Hall","15th Ave SE & Como Ave SE",221
"270","IDS Center","Mill City Quarter",220
"271","Dupont Ave & 22nd Street","Dupont Ave & 22nd Street",219
