"","Stationnumber","date","weekday","RidesOut","RidesIn","Rideoutminusin","Name","Latitude","Longitude","Total.docks"
"190","30102",2017-11-04,"Sat",2,1,1,"Como Park Conservatory",44.98025511,-93.15167874,19
"191","30142",2017-11-04,"Sat",4,5,-1,"9th Street N & Hawthorne Ave",44.97731428,-93.27776134,27
"192","30180",2017-11-04,"Sat",2,1,1,"3rd Street N & 8th Ave N",44.987996,-93.279854,19
"193","30051",2017-11-04,"Sat",3,0,3,"7th Street & 4th Ave S",44.97497,-93.266684,15
"194","30099",2017-11-04,"Sat",3,1,2,"Kowalski's Market",44.94010259,-93.15315127,15
"195","30158",2017-11-04,"Sat",2,0,2,"Lake Street & Knox Ave S",44.9485,-93.305209,41
"196","30188",2017-11-04,"Sat",3,0,3,"S 8th Street & 2nd Ave S",44.974795,-93.270649,19
"197","30050",2017-11-04,"Sat",2,1,1,"2nd Ave S & S 3rd Street",44.97974,-93.26599,27
"198","30191",2017-11-04,"Sat",1,1,0,"University Ave SE & Bedford Street SE",44.96876,-93.21003,15
"199","30032",2017-11-04,"Sat",1,5,-4,"4th Street & 17th Ave SE",44.97913,-93.23189,15
"200","30048",2017-11-04,"Sat",3,2,1,"Dupont Ave & 22nd Street",44.96146,-93.29303,15
"201","30006",2017-11-04,"Sat",4,3,1,"YWCA Downtown",44.972217,-93.276435,23
"202","30170",2017-11-04,"Sat",2,0,2,"Nicollet Island",44.985388,-93.26145,15
"203","30089",2017-11-04,"Sat",1,3,-2,"Lake Calhoun Center",44.94846717,-93.31729442,27
"204","30033",2017-11-04,"Sat",1,0,1,"Franklin & 11th Ave",44.96251,-93.2583,15
"205","30189",2017-11-04,"Sat",2,2,0,"Delaware Street SE & 26th Ave SE",44.972128,-93.221021,19
"206","30151",2017-11-04,"Sat",1,1,0,"Boom Island Park",44.99254,-93.270256,15
"207","30012",2017-11-04,"Sat",1,2,-1,"Mpls Convention Center",44.970041,-93.275861,19
"208","30097",2017-11-04,"Sat",1,0,1,"Pleasant Ave S &  Lake Street",44.948556,-93.283163,15
"209","30001",2017-11-04,"Sat",1,1,0,"25th Street & 33rd Ave S",44.957341,-93.223374,15
"210","30179",2017-11-04,"Sat",1,1,0,"Park Ave & 4th Street S",44.97589503,-93.25998902,27
"211","30103",2017-11-04,"Sat",1,1,0,"Hague Ave & Dale Street",44.945736,-93.12661,15
"212","30046",2017-11-04,"Sat",1,0,1,"Washington Ave S & 10th Ave S",44.97654,-93.25535,19
