"","Stationnumber","Name","weekday","RidesOut","RidesIn","Rideoutminusin"
"1001","30145","Minneapolis Park & Recreation Board","Sun",1.29213483146067,1.31460674157303,-0.0224719101123595
"1002","30146","North Mississippi Regional Park","Tue",0.729166666666667,1.375,-0.645833333333333
"1003","30146","North Mississippi Regional Park","Fri",0.557894736842105,1.67368421052632,-1.11578947368421
"1004","30146","North Mississippi Regional Park","Thu",0.74468085106383,0.765957446808511,-0.0212765957446809
"1005","30146","North Mississippi Regional Park","Wed",0.787234042553192,0.787234042553192,0
"1006","30146","North Mississippi Regional Park","Mon",0.684931506849315,1.84931506849315,-1.16438356164384
"1007","30146","North Mississippi Regional Park","Sun",0.634146341463415,1.82926829268293,-1.19512195121951
"1008","30146","North Mississippi Regional Park","Sat",0.619469026548673,1.89380530973451,-1.27433628318584
"1009","30147","Lake Street & West River Parkway","Sun",2.028,1.964,0.064
"1010","30147","Lake Street & West River Parkway","Sat",2.01063829787234,1.91843971631206,0.0921985815602837
"1011","30147","Lake Street & West River Parkway","Fri",1.27083333333333,1.25416666666667,0.0166666666666667
"1012","30147","Lake Street & West River Parkway","Thu",1.1195652173913,1.25,-0.130434782608696
"1013","30147","Lake Street & West River Parkway","Wed",0.984536082474227,1.13917525773196,-0.154639175257732
"1014","30147","Lake Street & West River Parkway","Tue",1.09677419354839,1.21658986175115,-0.119815668202765
"1015","30147","Lake Street & West River Parkway","Mon",1.2200956937799,1.32057416267943,-0.100478468899522
"1016","30148","46th Street Light Rail Station","Thu",0.861788617886179,0.67479674796748,0.186991869918699
"1017","30148","46th Street Light Rail Station","Tue",0.845528455284553,0.780487804878049,0.0650406504065041
"1018","30148","46th Street Light Rail Station","Wed",0.740157480314961,0.779527559055118,-0.0393700787401575
"1019","30148","46th Street Light Rail Station","Mon",0.826086956521739,0.947826086956522,-0.121739130434783
"1020","30148","46th Street Light Rail Station","Sun",0.984126984126984,0.976190476190476,0.00793650793650794
"1021","30148","46th Street Light Rail Station","Fri",0.810606060606061,0.840909090909091,-0.0303030303030303
"1022","30148","46th Street Light Rail Station","Sat",0.973856209150327,1.07843137254902,-0.104575163398693
"1023","30149","Minnehaha Park","Sun",4.19723183391003,4.45674740484429,-0.259515570934256
"1024","30149","Minnehaha Park","Sat",3.81481481481481,4.4320987654321,-0.617283950617284
"1025","30149","Minnehaha Park","Fri",1.95729537366548,2.2846975088968,-0.327402135231317
"1026","30149","Minnehaha Park","Thu",1.6555023923445,1.92822966507177,-0.272727272727273
"1027","30149","Minnehaha Park","Wed",1.8128078817734,2.07881773399015,-0.266009852216749
"1028","30149","Minnehaha Park","Tue",2.04390243902439,2.33658536585366,-0.292682926829268
"1029","30149","Minnehaha Park","Mon",2.08119658119658,2.5,-0.418803418803419
"1030","30150","Fort Snelling Visitor Center","Sat",1.41584158415842,1.12871287128713,0.287128712871287
"1031","30150","Fort Snelling Visitor Center","Thu",1.05172413793103,1.10344827586207,-0.0517241379310345
"1032","30150","Fort Snelling Visitor Center","Wed",0.769230769230769,0.807692307692308,-0.0384615384615385
"1033","30150","Fort Snelling Visitor Center","Fri",1,0.788732394366197,0.211267605633803
"1034","30150","Fort Snelling Visitor Center","Tue",0.857142857142857,0.964285714285714,-0.107142857142857
"1035","30150","Fort Snelling Visitor Center","Mon",0.859649122807018,0.982456140350877,-0.12280701754386
"1036","30150","Fort Snelling Visitor Center","Sun",1.48,1.26,0.22
"1037","30151","Boom Island Park","Sat",2.15102040816327,1.61224489795918,0.538775510204082
"1038","30151","Boom Island Park","Sun",2.24122807017544,1.74561403508772,0.495614035087719
"1039","30151","Boom Island Park","Wed",1.15,1.2,-0.05
"1040","30151","Boom Island Park","Mon",1.75384615384615,1.3,0.453846153846154
"1041","30151","Boom Island Park","Fri",1.77604166666667,1.27604166666667,0.5
"1042","30151","Boom Island Park","Thu",1.14406779661017,1.30508474576271,-0.161016949152542
"1043","30151","Boom Island Park","Tue",1.2734375,1.1484375,0.125
"1044","30152","Broadway & Marshall Street NE","Thu",0.716279069767442,0.925581395348837,-0.209302325581395
"1045","30152","Broadway & Marshall Street NE","Wed",0.803921568627451,0.867647058823529,-0.0637254901960784
"1046","30152","Broadway & Marshall Street NE","Tue",0.798245614035088,0.881578947368421,-0.0833333333333333
"1047","30152","Broadway & Marshall Street NE","Mon",0.759562841530055,0.890710382513661,-0.131147540983607
"1048","30152","Broadway & Marshall Street NE","Sun",1.12385321100917,1.34862385321101,-0.224770642201835
"1049","30152","Broadway & Marshall Street NE","Sat",1.59774436090226,1.6203007518797,-0.0225563909774436
"1050","30152","Broadway & Marshall Street NE","Fri",0.917355371900826,1.01239669421488,-0.0950413223140496
"1051","30153","Coldwater Spring","Sun",1.8268156424581,1.65921787709497,0.167597765363128
"1052","30153","Coldwater Spring","Sat",1.98837209302326,1.90697674418605,0.0813953488372093
"1053","30153","Coldwater Spring","Wed",1.25301204819277,1.16867469879518,0.0843373493975904
"1054","30153","Coldwater Spring","Tue",1.19736842105263,1.09210526315789,0.105263157894737
"1055","30153","Coldwater Spring","Fri",1.50892857142857,1.40178571428571,0.107142857142857
"1056","30153","Coldwater Spring","Thu",1.71875,1.73958333333333,-0.0208333333333333
"1057","30153","Coldwater Spring","Mon",1.74444444444444,1.55555555555556,0.188888888888889
"1058","30154","11th Ave S & S 2nd Street","Sun",3.52475247524752,3.57425742574257,-0.0495049504950495
"1059","30154","11th Ave S & S 2nd Street","Sat",4.13452914798206,4.40358744394619,-0.269058295964126
"1060","30154","11th Ave S & S 2nd Street","Fri",2.48057259713701,2.56237218813906,-0.081799591002045
"1061","30154","11th Ave S & S 2nd Street","Thu",2.1695652173913,2.21521739130435,-0.0456521739130435
"1062","30154","11th Ave S & S 2nd Street","Wed",1.86607142857143,1.89732142857143,-0.03125
"1063","30154","11th Ave S & S 2nd Street","Tue",2.31447963800905,2.32352941176471,-0.00904977375565611
"1064","30154","11th Ave S & S 2nd Street","Mon",2.32075471698113,2.45518867924528,-0.134433962264151
"1065","30155","University of St. Thomas","Sun",1.10077519379845,1.14728682170543,-0.0465116279069767
"1066","30155","University of St. Thomas","Sat",0.979020979020979,1.02097902097902,-0.041958041958042
"1067","30155","University of St. Thomas","Tue",0.844262295081967,0.918032786885246,-0.0737704918032787
"1068","30155","University of St. Thomas","Fri",0.924657534246575,0.972602739726027,-0.0479452054794521
"1069","30155","University of St. Thomas","Thu",0.702970297029703,0.752475247524752,-0.0495049504950495
"1070","30155","University of St. Thomas","Mon",0.75,0.902173913043478,-0.152173913043478
"1071","30155","University of St. Thomas","Wed",0.787037037037037,0.675925925925926,0.111111111111111
"1072","30156","Lake Nokomis","Sun",2.59288537549407,2.6600790513834,-0.0671936758893281
"1073","30156","Lake Nokomis","Wed",1.47878787878788,1.6,-0.121212121212121
"1074","30156","Lake Nokomis","Thu",1.26162790697674,1.38372093023256,-0.122093023255814
"1075","30156","Lake Nokomis","Mon",1.77777777777778,1.82828282828283,-0.0505050505050505
"1076","30156","Lake Nokomis","Fri",1.71078431372549,1.82352941176471,-0.112745098039216
"1077","30156","Lake Nokomis","Tue",1.54901960784314,1.73202614379085,-0.183006535947712
"1078","30156","Lake Nokomis","Sat",2.41984732824427,2.42748091603053,-0.00763358778625954
"1079","30157","Lake Harriet Bandshell","Sat",4.55339805825243,4.66666666666667,-0.113268608414239
"1080","30157","Lake Harriet Bandshell","Fri",2.84191176470588,2.89338235294118,-0.0514705882352941
"1081","30157","Lake Harriet Bandshell","Sun",4.25573770491803,4.39672131147541,-0.140983606557377
"1082","30157","Lake Harriet Bandshell","Thu",1.94871794871795,2.07692307692308,-0.128205128205128
"1083","30157","Lake Harriet Bandshell","Wed",1.74869109947644,1.82198952879581,-0.0732984293193717
"1084","30157","Lake Harriet Bandshell","Tue",2.69907407407407,2.78240740740741,-0.0833333333333333
"1085","30157","Lake Harriet Bandshell","Mon",2.76623376623377,2.8008658008658,-0.0346320346320346
"1086","30158","Lake Street & Knox Ave S","Sat",7.97186700767263,8.70588235294118,-0.734015345268542
"1087","30158","Lake Street & Knox Ave S","Thu",2.83164983164983,3.01346801346801,-0.181818181818182
"1088","30158","Lake Street & Knox Ave S","Mon",4.01672240802676,4.28428093645485,-0.267558528428094
"1089","30158","Lake Street & Knox Ave S","Sun",6.78108108108108,7.46486486486486,-0.683783783783784
"1090","30158","Lake Street & Knox Ave S","Wed",2.26440677966102,2.55254237288136,-0.288135593220339
"1091","30158","Lake Street & Knox Ave S","Tue",3.19471947194719,3.56435643564356,-0.36963696369637
"1092","30158","Lake Street & Knox Ave S","Fri",4.04201680672269,4.15406162464986,-0.112044817927171
"1093","30159","Fort Snelling State Park","Sun",1.83163265306122,1.94387755102041,-0.112244897959184
"1094","30159","Fort Snelling State Park","Sat",1.92896174863388,2.07650273224044,-0.147540983606557
"1095","30159","Fort Snelling State Park","Wed",1.10526315789474,1.19736842105263,-0.0921052631578947
