,Stationnumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
75,30076,0,0,-1,0,0,0,0,1,-0.5,-0.9,1.6,0,0.333333333,0.4,1.333333333,0,0.583333333,-0.142857143,-0.571428571,-0.25,0.5,0,0.5,0
76,30077,0,0,-1,-1,0,1,0.5,0,-0.285714286,1,-1,-0.5,0.75,-1,0.333333333,-0.75,0,0.4,0,0.833333333,0,1,0,0
77,30078,0,0,0,1,0,0,0,0,-1,1,0,0,0,-0.25,0,0,1,0.5,-0.428571429,-0.666666667,0,-1,-1.5,-1
78,30079,0,0,0,0,1,-0.5,1,1,0.111111111,-0.7,-0.166666667,0.5,-1,0.125,0.75,-0.833333333,0.5,0.2,-0.1,1.111111111,0,-0.75,0,0.5
79,30080,-2,-1,1,0,-1,0,-0.666666667,-0.75,-0.444444444,0.375,-1,0.875,-0.7,-0.3125,-0.25,-0.222222222,-0.65,0.217391304,0.5625,-0.066666667,-0.6,-0.333333333,-0.25,0
80,30081,0,0,0,0,1,1,0.833333333,-0.529411765,-0.736842105,0,0.333333333,-1,-0.666666667,0,-0.6875,-1,0.285714286,0.285714286,-0.272727273,0.333333333,0.25,-0.2,0.666666667,0
81,30082,0,0,0,0,0,1,0,-1,-0.5,0,0,1,1,0,-1,1,0.6,0.428571429,1,-1,0,0,0,0
82,30083,0,0,0,-1,0,0,0,1,0,2,0.5,-0.333333333,-0.25,0.5,0.666666667,0,0.222222222,0.833333333,0.4,-1.25,1,-0.5,-0.5,0
83,30085,0.5,0,0,0,1,0.5,1,1,0.5,1,1,1,0.666666667,-1,0.25,0.625,0.1,-0.769230769,-0.4,0.428571429,-0.333333333,0.428571429,0.333333333,-2
84,30086,0,0,0,0,0,0,0,-0.333333333,0.333333333,0.333333333,-0.285714286,-0.166666667,0.454545455,-0.454545455,0,0,-0.375,-0.166666667,-0.428571429,-0.125,0,-0.428571429,0.2,0
85,30087,-0.5,-1.5,-1,-1.5,1,1,1.181818182,1.133333333,0.173913043,0.526315789,0.25,0.5625,0.333333333,0.263157895,0.733333333,0.090909091,-0.272727273,0.5,-1.125,-0.095238095,-0.9,-1.272727273,-1.357142857,-0.333333333
86,30088,-0.333333333,-0.375,-2,1,1,1.083333333,1.68,2.4,6.666666667,3.709677419,1.391304348,0.269230769,0.142857143,0.125,0,-2,-3.64516129,-3.266666667,-2.133333333,-1.24137931,-2.068965517,-1.923076923,-1.25,-0.8125
87,30089,0,0,1,0,0,1,-1,0.866666667,0.545454545,1.928571429,0.473684211,0.526315789,0.8,-0.304347826,-0.263157895,1.052631579,-2.32,-0.814814815,-0.318181818,0.272727273,-1.444444444,-1.285714286,-1.5,-0.5
88,30090,1.333333333,-2,-1.75,1.5,0,0,-1.095238095,0.333333333,1.172413793,0.52,0.388888889,-0.380952381,0.041666667,1,0.090909091,-0.681818182,-1.346153846,-0.448275862,-0.681818182,0.041666667,0.533333333,1.166666667,-0.666666667,-0.8
89,30091,-0.25,1,0,0,0,0,0.428571429,0.481481481,0.925925926,-0.5,-0.285714286,0.444444444,-0.115384615,-0.238095238,0.388888889,-0.652173913,0.44,-0.392857143,0.666666667,-0.444444444,-0.357142857,0.304347826,-0.2,0
90,30092,-2.666666667,-1,0,-2,1,1.142857143,0.846153846,0.375,0.625,0.5,0,0.727272727,-0.25,0.285714286,0.8,0.153846154,-0.428571429,-1,-1.260869565,-1.166666667,-0.916666667,-0.666666667,0.125,2
91,30093,-1.125,-1,-0.625,0,0.333333333,0.875,1.444444444,2.24,3.296296296,1.217391304,1.4,0.05,0.363636364,0.407407407,0.272727273,-1.458333333,-1.333333333,-2.571428571,-0.708333333,-0.607142857,-0.6,-1.944444444,-1.25,-1.25
92,30094,-1,0.666666667,-1,0,0,0,1,1.818181818,1.333333333,0.4,0.333333333,1.857142857,0,-0.428571429,0.8,0.666666667,-0.666666667,-0.65,-0.866666667,-1.125,0.2,-1.142857143,-0.823529412,-0.571428571
93,30095,-1,0,0,0,0,1,-0.111111111,0.428571429,1.166666667,0.4,2,-0.166666667,-0.5,0.571428571,-0.3,0.058823529,-1.4,-0.95,-0.277777778,-0.125,-0.583333333,-0.75,-1.666666667,-0.6
94,30096,-1,0,-0.5,0,0,0,0,1,1,1.25,-2,0.857142857,-0.333333333,0.428571429,1.2,-0.428571429,-0.857142857,-2,-0.166666667,-1,-0.705882353,-0.333333333,1,-0.5
95,30097,-1,0,1,1,-1,0,1,1.285714286,0.5,0.6,0.8,-0.25,0.333333333,0.166666667,-0.666666667,1.333333333,-1.076923077,0.583333333,-0.333333333,0.285714286,0,-1.2,0,0
96,30098,-4,2,-2,0,1,1,0,3,1.333333333,1.25,0.666666667,1.4,0.25,0.2,-0.428571429,0.166666667,-0.285714286,-0.75,-1,-0.285714286,-0.333333333,-1,0.666666667,0
97,30099,1,0,0,0,0,0,0,1.071428571,0.6,1,0.4,0,0,-0.8,0.8,0.222222222,0.214285714,-0.538461538,0.2,-0.333333333,0.428571429,-0.5,-1.2,0
98,30100,0,0,0,0,0,0,0.7,0,0.666666667,0.25,0.142857143,0.153846154,0.153846154,0,0.214285714,0.083333333,-0.421052632,-0.117647059,0.111111111,-0.055555556,-0.5625,-1.166666667,-2,0
99,30101,0,0,0,0,0,-0.666666667,1,1.090909091,0.857142857,-0.333333333,0.4,0.125,-0.181818182,-0.333333333,0.625,0.666666667,-0.333333333,-0.85,-0.25,-0.3,0,-0.25,1,-1
100,30102,0,0,0,0,0,0,0,1,0.5,0,1,0,0.333333333,-1.5,-0.333333333,2,-0.666666667,-0.444444444,0.333333333,0.5,-0.25,0,-1,0
101,30103,-1,0,0,0,0,0,0,1,1.263157895,0.428571429,0.142857143,1,0.571428571,0,-0.333333333,-0.285714286,0.181818182,-1.066666667,-0.25,0.666666667,0.571428571,-1.166666667,-0.333333333,0
102,30104,-1.333333333,1,0,1,0,1,0.333333333,0.2,-0.777777778,-0.923076923,0.5,0.363636364,-0.294117647,0.470588235,-0.470588235,-0.090909091,0.181818182,-0.590909091,-0.739130435,0.571428571,0.222222222,1,-0.166666667,-1.25
103,30105,0,0,-1,0,0,0,-1,0,-1,0,0,-0.5,0.5,0.2,0,1,0,1,-0.714285714,-1,0,1,1,-1
104,30106,0,0,1,0,0,0,0.5,1,1,1,0.166666667,0.5,-1,-0.2,0,1,-0.222222222,-0.4,0.4,0.125,-1,-0.5,-2,1
105,30107,0,0,0,0,0,0,1,0.875,-1,-1,-0.333333333,-1,0,-1,-0.5,0.333333333,-0.5,1,0.75,0.5,-1,0,-1,0
106,30108,0,0,0,0,0,0,1,0.857142857,0,0.4,0.333333333,0.166666667,-0.5,0.5,1,-0.25,-0.333333333,-1.090909091,-0.4,-0.333333333,0.6,-0.333333333,0,0
107,30109,-0.8,-1,0,-1,-1,1,1,1,1.590909091,2.1,1.095238095,1.222222222,0,0.3125,0.272727273,-0.230769231,-0.75,-1.76,-2.130434783,-1.142857143,-0.789473684,-1.428571429,-1.083333333,-1.3
108,30110,-0.181818182,-1.2,0.25,-0.6,1,0,1.5,1.368421053,1.777777778,1.608695652,1.222222222,1,0.8,0.476190476,0.055555556,-0.913043478,-0.766666667,-1.384615385,-0.444444444,-1,-1.272727273,-0.947368421,-0.4375,-1.166666667
109,30111,0,0,0,0,0,0,0,1,0,1,-0.333333333,0,0,0,-1,1,-0.166666667,-0.5,0.375,0,0,0,-1.5,1
110,30112,-1,-1,0,0,0,1,0,1.555555556,1,-0.333333333,1,-0.166666667,-0.142857143,-0.2,-0.666666667,-0.625,-0.4,-0.9,-0.5,-0.3,-0.125,0,-0.5,-1
111,30113,-1,-1,-1,0,0,-1,-1,-1.2,-0.714285714,0.333333333,-0.444444444,0.428571429,1,0.25,-0.4,0,0.722222222,0.842105263,0.6875,0,0.25,0.333333333,-1,-1
112,30114,0,-1,0,0,0,0,1,-1,1.333333333,-0.5,1,-0.333333333,-0.666666667,-0.111111111,-0.25,-0.533333333,0,-0.5,-0.5,0.285714286,-1,0.375,0.789473684,-0.4
